 Variables , 1975 1Q , 1975 2Q , 1975 3Q , 1975 4Q , 1976 1Q , 1976 2Q , 1976 3Q , 1976 4Q , 1977 1Q , 1977 2Q , 1977 3Q , 1977 4Q , 1978 1Q , 1978 2Q , 1978 3Q , 1978 4Q , 1979 1Q , 1979 2Q , 1979 3Q , 1979 4Q , 1980 1Q , 1980 2Q , 1980 3Q , 1980 4Q , 1981 1Q , 1981 2Q , 1981 3Q , 1981 4Q , 1982 1Q , 1982 2Q , 1982 3Q , 1982 4Q , 1983 1Q , 1983 2Q , 1983 3Q , 1983 4Q , 1984 1Q , 1984 2Q , 1984 3Q , 1984 4Q , 1985 1Q , 1985 2Q , 1985 3Q , 1985 4Q , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q 
 Gross Domestic Product At 2010 Market Prices ,"7,052.10","7,154.80","7,321.10","7,435.20","7,632.50","7,683.90","7,846.40","7,942.80","8,164.50","8,315.70","8,414.20","8,541.90","8,726.60","8,898.90","9,236.50","9,462.10","9,540.50","9,832.70","10,002.70","10,401.80","10,632.80","10,808.70","11,039.60","11,300","11,669.40","11,990","12,267.80","12,507.60","12,693","12,892.50","13,081.30","13,266","13,628.30","13,913.70","14,191.60","14,600.20","15,103","15,259.90","15,428.60","15,475.20","15,658.80","15,225.50","15,063.70","14,933.60","14,997.80","15,240.10","15,479.20","15,909.40","16,227.30","16,786","17,370.50","17,878.50","18,023.70","18,781.70","19,272.90","19,784.90","19,803.40","20,981.70","21,213","21,671.60","22,658.10","22,931.40","23,170.80","23,488.20","24,045.20","24,416.90","24,854.40","25,013.10","25,466","25,872.50","26,636.40","27,320.20","27,784.80","29,147.10","29,639.70","30,883.80","31,631.30","32,081.10","33,052.60","33,437.40","33,161.70","34,296.90","35,793.70","36,063.30","37,151.90","37,279.30","37,308.40","38,198.10","39,260.80","40,795.80","41,349.90","40,916.20","39,826.90","39,705","39,273.10","39,964.50","40,753.10","42,015.20","42,594.70","43,041.80","44,302.70","45,305.30","46,725.10","47,027.50","46,745.20","45,665.60","44,501.20","44,812.50","46,362.50","47,737","47,588.60","47,567.50","48,165.40","47,575.70","50,134","51,726.10","53,093.60","53,850.50","54,119","55,394.20","55,894.10","57,335.50","58,828","60,526.60","61,814.20","62,310.20","63,601.60","65,582.10","67,166.20","68,555.80","70,588.90","70,133.50","72,886","70,533","70,372.40","67,881.90","66,304.20","69,205.40","72,214.70","71,905.80","77,722.50","82,090.60","80,138.90","82,461.60","84,837.70","84,945.10","86,481.60","86,224","88,552.80","89,207.80","87,984.50","89,992.40","91,236.20","93,253.60","93,688.30","95,248.20","95,637.50","96,018.50","96,590.10","98,579.50","97,871.30","97,981.80","98,601.30","99,825.30","99,708.10","99,898.40","99,803.50","102,738.20"
     Goods Producing Industries ,"2,017.50","2,034.90","2,202.60","2,260.20","2,334.50","2,336.80","2,407.30","2,387.60","2,467.50","2,528.10","2,537.50","2,556.40","2,560.50","2,633.10","2,750.50","2,864.20","2,908","2,978.80","3,017.60","3,158","3,211.90","3,280.90","3,328","3,409.10","3,495.40","3,643.70","3,700.40","3,784","3,857.60","3,844.70","3,877.10","3,845.10","4,065","4,150.20","4,299.20","4,498.20","4,668.40","4,687","4,677.40","4,635.20","4,595.90","4,204.80","4,103.20","3,933.30","4,006.10","4,149.50","4,121","4,207.70","4,268.20","4,415.80","4,563.20","4,772.60","4,868.90","5,057.20","5,149","5,198.40","5,249.90","5,417.30","5,528","5,678.40","5,790.40","5,894.60","5,997.80","6,139.30","6,359.60","6,296.50","6,414.20","6,480.70","6,551.20","6,566.70","6,707.10","6,957.50","6,998.30","7,265.90","7,411.70","7,570.10","8,027","8,262.60","8,527.80","8,581.20","8,570.70","8,942","9,493.40","9,549.60","9,920.50","9,719","9,526.10","9,789.80","9,705.30","10,265.90","10,650.10","10,764.20","10,446.10","10,468.10","10,246.80","10,367.20","10,961","10,973","11,288.50","11,208.20","11,728.20","12,043.20","12,739.30","13,018.50","12,147.90","11,342.60","10,828.10","10,888.90","11,573.90","12,260.80","11,905.60","11,521.10","11,958.50","11,456.70","12,144.90","12,390.10","12,980.80","13,299.80","13,158.60","13,677.20","13,377.90","13,983.70","14,629.40","15,427.30","15,589.70","15,541.80","16,041.80","16,736.20","16,779.50","16,834.30","17,894.50","16,974.20","18,763.40","16,421.80","16,701.70","16,056.80","15,412.90","16,720.50","18,118.30","16,976.80","20,322.30","22,953.20","20,488.90","20,548.80","23,318.90","22,200.90","22,289.30","22,422.50","23,577.20","23,360.70","22,554.60","22,764.10","22,462.70","23,571.60","23,683.30","24,236","24,529","24,162.10","24,312.70","24,186.30","23,767.30","23,618.90","23,454.80","23,343","23,858.20","24,057.50","23,650.10","25,217.20"
         Manufacturing ,"1,308.90","1,303.30","1,441.80","1,462.90","1,520.50","1,504.40","1,565.60","1,581.80","1,634.60","1,690.20","1,689","1,733.50","1,740.20","1,820.90","1,931.40","2,011.60","2,051.20","2,100.70","2,141","2,258.10","2,278.40","2,331.70","2,369.80","2,432.80","2,496.20","2,610.60","2,601.40","2,582","2,608.50","2,528.80","2,449.80","2,354.90","2,495.50","2,474.20","2,575","2,655.90","2,753.10","2,763.10","2,743.10","2,705.90","2,678.30","2,564.40","2,507.60","2,419.50","2,540.10","2,693.10","2,831.30","2,931","2,986.90","3,117.70","3,284.90","3,524.60","3,638.30","3,804.60","3,894.10","3,959.10","3,999.30","4,182.20","4,252.40","4,365","4,456.20","4,544.70","4,669.70","4,732.60","4,911.70","4,838.70","4,841.20","4,832","4,854.20","4,843.90","4,978.10","5,177.10","5,240.90","5,413.70","5,500.90","5,608.50","5,867.20","6,104.40","6,260.50","6,291.80","6,349.60","6,583.60","7,043.30","7,000.40","7,202.80","6,927.60","6,754.80","6,913.40","6,796.80","7,223.30","7,409.90","7,503.90","7,180.30","7,204.10","7,093.20","7,285.70","7,844.10","7,996.40","8,364.40","8,285","8,823.50","9,070.40","9,646.60","9,855.30","9,031.70","8,259.50","7,823.70","7,992.80","8,625.10","9,382.10","9,079.20","8,753.40","9,222.30","8,714.80","9,356.90","9,595.90","10,199.60","10,499.10","10,383.10","10,913.80","10,560.70","11,154","11,768.20","12,442.90","12,566.90","12,518.10","12,906.80","13,506.70","13,398.80","13,445.60","14,366.10","13,409.30","15,037.40","12,658.20","12,751.20","12,086.50","11,412.70","12,519.40","13,730.20","12,472.70","15,605","18,052.80","15,688.80","15,761.70","18,483.90","17,271.60","17,208.70","17,255.70","18,218.10","17,903.70","17,060.30","17,240.40","16,985.60","18,021.30","18,028.70","18,459.90","18,582","18,269.30","18,356.50","18,257.60","17,739","17,516.80","17,304.90","17,126.30","17,654.30","17,811.70","17,584.70","19,121.20"
         Construction ,508.9,533,559,591.8,605,622.4,626.6,576.6,602.9,591.6,608.4,571.1,547.7,537.6,536.3,563,567,583.4,581.2,598,632,641.9,647.7,661.1,677.7,711.2,775.7,876.6,929.1,994.7,"1,100.10","1,160.80","1,234.40","1,331.90","1,380.30","1,500.80","1,572.10","1,567.20","1,576","1,564.40","1,546.50","1,274.30","1,238.80","1,162.80","1,107.30","1,089.40",908.5,888.8,895.6,906,879.6,837.5,826.6,843,839,819.7,827.3,812.9,846.2,875.8,886.6,900,878.9,948.7,989,992.4,"1,099.10","1,179.10","1,221.30","1,251.20","1,259.70","1,299.50","1,279.70","1,355.20","1,403.50","1,445.70","1,632.30","1,620.40","1,715.50","1,732","1,654.70","1,788.50","1,867.30","1,964.60","2,128.80","2,193","2,165","2,261.10","2,292.70","2,405","2,591.10","2,598","2,598.70","2,603","2,502","2,403","2,417.70","2,253.40","2,179.20","2,163.40","2,129.50","2,178.70","2,257","2,317.60","2,305.10","2,297.70","2,231.40","2,086.50","2,095.90","1,957.80","1,889.60","1,835.40","1,750","1,788.20","1,808.20","1,783.90","1,749.90","1,699","1,662.40","1,653.40","1,729.60","1,688.30","1,682","1,743.40","1,765.40","1,756.90","1,848.60","1,914.30","2,094.90","2,116","2,202.40","2,321.70","2,377.90","2,655.70","2,868.30","2,971.40","3,102.50","3,218.40","3,332","3,564","3,496.70","3,665.50","3,557.50","3,517.40","3,572.80","3,648","3,810.60","3,917.20","4,064.30","4,169","4,203.60","4,230.60","4,170.30","4,237.40","4,321.80","4,445.10","4,606.60","4,542.90","4,589.30","4,567.90","4,670.30","4,737.70","4,778.90","4,830.40","4,810.90","4,847.60","4,687.50","4,696.90"
         Utilities ,130.2,131.3,135.7,138.3,139.6,142.7,146.1,149.5,149.9,159,160.3,163,172.3,173.3,180.2,187.5,189.6,190.4,191.7,195.6,201.8,203.6,205.1,207.9,212.6,216.8,220.4,223.3,221.4,225.7,230.5,235.5,235.1,249.1,252.1,252.3,257.5,262.7,265.8,269.6,278.9,276.3,271.3,272.5,278.7,287.9,296,303.9,303.6,310.2,321.2,335.5,335.5,339.6,347.9,350.9,354.9,358.2,362.8,371.3,383.4,391,391.1,400.1,404.5,411,425.5,426,432.3,431.9,430.4,441.8,438.6,459.7,471.4,482.5,496.2,503.3,519.9,526.3,535.1,541.7,546.9,557,567.5,592.2,604.8,618.1,624.4,642.8,668.7,681.6,698.2,693.8,677.9,695.3,705.5,713.1,720.7,739.2,744,762.3,789.1,802.4,812.3,828.8,832,841,857.6,868.3,896.8,902.5,923.4,923.9,918.8,936,918.1,976.3,987.2,950.8,980.8,985,973.5,"1,012","1,030.30","1,045.20","1,064.50","1,061.70","1,090.70","1,075.20","1,086.90","1,103.90","1,107.30","1,096.50","1,120.50","1,105.50","1,069.30","1,117.10","1,134.50","1,167.20","1,195.20","1,203","1,212.20","1,238.80","1,231.90","1,250.60","1,241.10","1,218.80","1,264.20","1,255.90","1,259.70","1,261.50","1,274","1,281.60","1,299","1,298.10","1,305","1,312.90","1,327.50","1,324.10","1,322.80","1,328.40","1,334.40","1,351","1,357.10","1,362.10","1,344.20","1,363.40"
         Other Goods Industries ,83.6,85.8,87.9,93.1,96.2,96.7,97.3,94.7,99.1,98.7,96.4,95,93.1,93.4,94.1,94.1,92.5,96.2,95.5,97.8,93.1,96.5,97.9,99.7,101.2,98.6,98.5,100.6,98.9,98.4,102.5,102.1,108.7,107.2,105.5,106.3,104.8,111.7,110.7,112.9,110,101,96.6,89,88.4,86.6,86.4,84.6,82.9,82.6,77.6,73.6,67.5,68.6,66.4,66.3,66.1,61.4,64.3,64.4,63.8,58.7,55.6,57.6,53.7,55.3,54.3,52.5,54,51.6,49.2,49.1,47.4,47.6,47.7,46.3,48.3,48.4,48.5,48.3,45.8,46,47.1,47.8,48.3,48.2,48.2,47.7,48,49.9,45.7,45.7,45.1,42,42.8,43.1,40.5,43.5,43.8,44,41.7,40.3,42.3,39.4,37.7,37.5,34.9,33.3,31.6,30.6,28.6,28.1,27.8,26.9,26.8,27.4,26.2,26.3,29.7,26.8,29.2,28.3,29.5,29.7,29.1,29.3,28.2,31.9,30.3,29.9,29,29.2,28.9,28.9,27.7,25.8,28.9,27.2,28.2,31.2,25.4,31.9,30.4,30.9,30.3,30.7,28.9,30.8,30.6,32.1,31,31.6,32.8,31.3,33.8,32.9,35.4,37,39.4,36.7,35.2,36,36.6,35.3,35.9,36.1,33.7,35.7
     Services Producing Industries ,"4,133.60","4,214.30","4,198.30","4,232.70","4,349.10","4,390","4,481.10","4,561.90","4,687.30","4,748.10","4,825.70","4,933.20","5,091.70","5,176.40","5,361.70","5,459.60","5,464.60","5,636.90","5,738.30","5,928.20","6,083.10","6,195.10","6,346.70","6,515.10","6,719.10","6,861.40","7,031.60","7,169.30","7,287.30","7,464.40","7,626.60","7,813.80","7,822.50","7,985.90","8,114.40","8,232.10","8,439.20","8,552.60","8,729.30","8,823.40","8,983.90","9,058.40","8,990.30","9,045.20","9,007.60","9,059.10","9,288.40","9,604.30","9,805.50","10,154.50","10,482","10,709.80","10,788.30","11,243","11,614.50","11,907.90","11,865.10","12,815.90","12,957.10","12,959.10","13,765.90","14,000.70","14,187.30","14,386.50","14,699.20","15,066.50","15,245.20","15,392.60","15,667.60","16,100.20","16,645.10","17,067.20","17,402.70","18,349.40","18,668.20","19,548.80","19,886.90","20,048.60","20,588.80","20,822.90","20,523.50","21,339.80","22,174.40","22,285.70","22,946.80","23,244.60","23,551.40","24,213.70","25,311.70","25,966.60","26,198.70","25,572.40","24,814.80","24,828.10","24,602.60","25,150.70","25,149.20","26,321.40","26,335.10","26,737.70","27,411","27,902.70","28,503.50","28,550.60","29,364.20","29,395.50","28,801.80","28,988.20","29,762.30","30,120.20","30,585.50","30,958.40","30,989.20","30,921.80","32,774.90","34,011.10","34,376.50","34,967.40","35,347.90","35,963.10","36,785.20","37,592.80","38,242.60","38,890.50","39,803.20","40,505.60","41,196.30","42,306.10","43,318.20","44,633","45,504.60","46,469.70","47,254.40","47,874.20","47,373.40","45,747.80","44,937.80","46,072.50","47,264.40","48,468.60","49,977","51,788.90","52,412.50","54,469.60","54,274.90","55,402.80","56,863","56,583.90","57,417.20","58,421.20","57,996.50","59,663.90","61,424.10","62,399.70","62,713.70","63,805.60","63,829.50","64,503.30","64,890.30","66,870.30","66,438","66,596.20","67,203.40","68,165.70","67,432.80","67,316.90","67,494.10","68,867.80"
         Wholesale & Retail Trade ,"1,361","1,418.30","1,353.70","1,333.10","1,340.40","1,375.30","1,400.40","1,407.80","1,455.60","1,495.20","1,500.20","1,535.70","1,562.10","1,556.20","1,622.60","1,619.20","1,632.20","1,648.90","1,700.90","1,706.20","1,692.10","1,742.40","1,764","1,785.90","1,780.50","1,803.80","1,814.20","1,836.80","1,885.80","1,886.30","1,906.80","1,924.30","1,957.40","1,965.50","2,012.30","2,037.80","2,073.70","2,027.60","2,111.80","2,184.30","2,130.30","2,044.90","1,967.70","1,956.30","1,915.90","2,018.90","2,019.50","2,073.10","1,958.30","2,247.10","2,316.30","2,345.60","2,342.70","2,619.20","2,734.60","2,777.70","2,527.70","2,873.10","3,017.60","2,936.40","3,120.80","3,134.60","3,108.60","3,292.80","3,446.30","3,472.10","3,559.40","3,481.70","3,403.30","3,456.80","3,560.10","3,689.60","4,139.30","4,190.70","4,315.90","4,480.60","4,664.60","4,803.40","4,937.60","5,159.20","5,202.20","5,367.60","5,586.60","5,621.60","5,660.60","5,582.40","5,690","5,882.30","6,079.10","6,226.80","6,279","5,767.10","5,638.80","5,528.70","5,369.40","5,489.90","5,508.70","5,863.70","5,898.40","6,168.60","6,522.90","6,815.70","7,149.10","7,112.50","7,102.20","6,876.50","6,704.70","6,819.30","7,011.40","7,269.70","7,637.80","7,768.30","7,798.60","8,029.80","8,417.50","8,966.60","9,288.20","9,587.80","9,737.80","10,182.50","10,272.10","10,570.30","10,792.50","11,063.60","11,486.40","11,672.60","12,013.70","12,329.40","12,632.80","12,699.20","12,853.60","12,940.80","13,589","13,513.40","13,225.60","12,442.30","12,101.50","12,375.50","12,746.50","13,174.70","14,012.60","14,411","14,738.70","15,242.20","15,182.80","15,475.70","15,894.70","15,830.80","15,749.20","16,494.20","16,180.20","16,681.10","17,312.20","17,284","17,362.30","17,619.50","17,448.10","17,689.70","17,792.70","17,979.10","18,075.70","18,374.40","18,529.70","18,562.90","18,418.40","18,454.20","18,530.90","18,632.20"
